Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Anthony McFarland Jr. (16006234),Anthony McFarland Jr.,16006234,RB/FLEX,4100,IND@PIT 12/27/2020 01:00PM ET,PIT,2.1
QB,Tyler Huntley (16006138),Tyler Huntley,16006138,QB,4100,NYG@BAL 12/27/2020 01:00PM ET,BAL,2.08
QB,Robert Griffin III (16006139),Robert Griffin III,16006139,QB,4100,NYG@BAL 12/27/2020 01:00PM ET,BAL,1.40
QB,Trace McSorley (16006140),Trace McSorley,16006140,QB,4100,NYG@BAL 12/27/2020 01:00PM ET,BAL,4.65
QB,Geno Smith (16006137),Geno Smith,16006137,QB,4100,LAR@SEA 12/27/2020 04:25PM ET,SEA,1.12
WR,Michael Gallup (16006424),Michael Gallup,16006424,WR/FLEX,4100,PHI@DAL 12/27/2020 04:25PM ET,DAL,9.81
QB,Steven Montez (16006153),Steven Montez,16006153,QB,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,0
QB,Taylor Heinicke (16006154),Taylor Heinicke,16006154,QB,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,0
QB,Kyle Allen (16006155),Kyle Allen,16006155,QB,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,11.75
RB,Rodney Smith (16006338),Rodney Smith,16006338,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,CAR,3.86
RB,Trenton Cannon (16006340),Trenton Cannon,16006340,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,CAR,0.79
RB,Reggie Bonnafon (16006342),Reggie Bonnafon,16006342,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,CAR,8.35
RB,Alex Armah (16006344),Alex Armah,16006344,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,CAR,0.67
RB,Mike Warren (16006346),Mike Warren,16006346,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,0
RB,Lamar Miller (16006348),Lamar Miller,16006348,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,2.6
RB,Bryce Love (16006350),Bryce Love,16006350,RB/FLEX,4000,CAR@WAS 12/27/2020 01:00PM ET,WAS,0
QB,Josh Dobbs (16006151),Josh Dobbs,16006151,QB,4000,IND@PIT 12/27/2020 01:00PM ET,PIT,0
QB,Jacob Eason (16006152),Jacob Eason,16006152,QB,4000,IND@PIT 12/27/2020 01:00PM ET,IND,0
RB,Jaylen Samuels (16006328),Jaylen Samuels,16006328,RB/FLEX,4000,IND@PIT 12/27/2020 01:00PM ET,PIT,1.82
RB,Trey Edmunds (16006330),Trey Edmunds,16006330,RB/FLEX,4000,IND@PIT 12/27/2020 01:00PM ET,PIT,0
RB,Derek Watt (16006332),Derek Watt,16006332,RB/FLEX,4000,IND@PIT 12/27/2020 01:00PM ET,PIT,0
RB,Jordan Wilkins (16006334),Jordan Wilkins,16006334,RB/FLEX,4000,IND@PIT 12/27/2020 01:00PM ET,IND,5.11
RB,Marlon Mack (16006336),Marlon Mack,16006336,RB/FLEX,4000,IND@PIT 12/27/2020 01:00PM ET,IND,8.6
RB,Darwin Thompson (16006316),Darwin Thompson,16006316,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,KC,1.05
RB,Anthony Sherman (16006318),Anthony Sherman,16006318,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,KC,1.28
RB,Brian Hill (16006320),Brian Hill,16006320,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,ATL,5.05
RB,Ito Smith (16006322),Ito Smith,16006322,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,ATL,4.05
RB,Qadree Ollison (16006324),Qadree Ollison,16006324,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,ATL,0.3
RB,Keith Smith (16006326),Keith Smith,16006326,RB/FLEX,4000,ATL@KC 12/27/2020 01:00PM ET,ATL,1.09
QB,Easton Stick (16006150),Easton Stick,16006150,QB,4000,DEN@LAC 12/27/2020 04:05PM ET,LAC,-0.04
RB,Kalen Ballage (16006306),Kalen Ballage,16006306,RB/FLEX,4000,DEN@LAC 12/27/2020 04:05PM ET,LAC,8.86
RB,Joshua Kelley (16006308),Joshua Kelley,16006308,RB/FLEX,4000,DEN@LAC 12/27/2020 04:05PM ET,LAC,6.4
RB,Justin Jackson (16006310),Justin Jackson,16006310,RB/FLEX,4000,DEN@LAC 12/27/2020 04:05PM ET,LAC,8.58
